projectRcn,projectID,projectAcronym,role,id,name,shortName,activityType,endOfParticipation,ecContribution,country,street,city,postCode,organizationUrl,vatNumber,contactForm,contactType,contactTitle,contactFirstNames,contactLastNames,contactFunction,contactTelephoneNumber,contactFaxNumber
194625,649846,FosterREG,participant,971378468,MEDUNARODNI CENTAR ZA ODRZIVI RAZVOJ ENERGETIKE VODA I OKOLISA,SDEWES Centre,HES,false,166562.5,HR,IVANA LUCICA 5,ZAGREB,10000,http://www.sdewes.org/,HR32475284418,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=971378468&projectId=649846&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194937,654142,EGI-Engage,participant,999655326,SVEUCILISTE U ZAGREBU SVEUCILISNI RACUNSKI CENTAR,SRCE,REC,false,169125,HR,JOSIPA MAROHNICA 5,ZAGREB,10000,NA,HR3283020,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999655326&projectId=654142&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194561,649180,NET4SOCIETY4,participant,999500126,AGENCIJA ZA MOBILNOST I PROGRAME EUROPSKE UNIJE,AMEUP,HES,false,35459.38,HR,FRANKOPANSKA  26,ZAGREB,10000,NA,HR25385906011,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999500126&projectId=649180&programId=31045243,NA,NA,NA,NA,NA,NA,NA
205557,720720,FUNGUSCHAIN,participant,924179335,"SAPONIA KEMIJSKA, PREHRAMBENA I FARMACEUTSKA INDUSTRIA D.D.",Saponia d.d.,OTH,false,118270,HR,MATIJE GUPCA 2,OSIJEK,31000,NA,HR37879152548,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=924179335&projectId=720720&programId=31045243,NA,NA,NA,NA,NA,NA,NA
205557,720720,FUNGUSCHAIN,participant,952298374,"MI-PLAST DOO ZA PROIZVODNJU TRGOVINU I PRUZANJE USLUGA - MI-PLAST LLC MANUFACTURING, TRADING AND SERVICES MIPLAST",MIP,OTH,false,309156,HR,MILUTINA BARACA 54,RIJEKA,51000,www.mi-plast.hr,HR61935737712,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=952298374&projectId=720720&programId=31045243,NA,NA,NA,NA,NA,NA,NA
205256,722341,ReFocuS,coordinator,998386760,INSTITUT ZA BIOLOSKA ISTRAZIVANJA,IBISS,HES,false,68500,RS,BULEVAR DESPOTA STEFANA 142,BEOGRAD,11060,www.ibiss.bg.ac.yu,RS100205581,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998386760&projectId=722341&programId=31045243,NA,NA,NA,NA,NA,NA,NA
205256,722341,ReFocuS,participant,954810286,CENTAR ZA PROMOCIJU NAUKE,CPN,HES,false,45000,RS,KRALJA PETRA 46,BEOGRAD,11000,www.cpn.rs,RS106867229,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=954810286&projectId=722341&programId=31045243,NA,NA,NA,NA,NA,NA,NA
205256,722341,ReFocuS,participant,951069287,ZAVOD ZA ZASTITU SPOMENIKA KULTURE KRAGUJEVAC,ZZSKKG,REC,false,23000,RS,184 KRAGUJEVACKOG OKTOBRA STR,KRAGUJEVAC,34000,NA,RS101040785,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=951069287&projectId=722341&programId=31045243,NA,NA,NA,NA,NA,NA,NA
205256,722341,ReFocuS,participant,999808392,PRIRODNO MATEMATICKI FAKULTET,PMF NIŠ,HES,false,39000,RS,VISEGRADSKA 33,NIS,18 000,NA,RS100668023,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999808392&projectId=722341&programId=31045243,NA,NA,NA,NA,NA,NA,NA
222625,833635,ROXANNE,participant,931973673,MINISTRY OF INTERIOR,MUP RH,PUB,false,98250,HR,ULICA GRADA VUKOVARA 33,ZAGREB,10000,NA,HR36162371878,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=931973673&projectId=833635&programId=31045243,NA,NA,NA,NA,NA,NA,NA
